,Unnamed: 0,Province,Code Province,Territoire,Code Territoire,Zone de Santé,Pcode ZS,CLSHL_CO1_IN1_atteint,CLSHL_CO1_IN3_atteint,CLSHL_CO1_IN2_atteint,CLSHL_CO2_IN2_atteint,CLSHL_CO2_IN1_atteint,CLSHL_CO3_IN2_atteint,CLSHL_CO3_IN3_atteint,CLSHL_CO3_IN1_atteint,CLSHL_CO4_IN3_atteint,CLSHL_CO4_IN2_atteint,CLSHL_CO4_IN1_atteint,CLSHL_CO1_IN1_Total cible,CLSHL_CO1_IN3_Total cible,CLSHL_CO1_IN2_Total cible,CLSHL_CO2_IN2_Total cible,CLSHL_CO2_IN1_Total cible,CLSHL_CO3_IN2_Total cible,CLSHL_CO3_IN3_Total cible,CLSHL_CO3_IN1_Total cible,CLSHL_CO4_IN3_Total cible,CLSHL_CO4_IN2_Total cible,CLSHL_CO4_IN1_Total cible,CLNUT_CO1_IN1_atteint,CLNUT_CO1_IN2_atteint,CLNUT_CO1_IN3_atteint,CLNUT_CO1_IN1_Total cible,CLNUT_CO1_IN2_Total cible,CLNUT_CO1_IN3_Total cible,CLAME_CO1_IN2_atteint,CLAME_CO1_IN3_atteint,CLAME_CO1_IN1_atteint,CLAME_CO2_IN1_atteint,CLAME_CO3_IN2_atteint,CLAME_CO3_IN3_atteint,CLAME_CO3_IN1_atteint,CLAME_CO1_IN2_Total cible,CLAME_CO1_IN3_Total cible,CLAME_CO1_IN1_Total cible,CLAME_CO2_IN1_Total cible,CLAME_CO3_IN2_Total cible,CLAME_CO3_IN3_Total cible,CLAME_CO3_IN1_Total cible,CLEDU_CO1_IN1_atteint,CLEDU_CO2_IN1_atteint,CLEDU_CO3_IN1_atteint,CLEDU_CO4_IN1_atteint,CLEDU_CO1_IN1_Total cible,CLEDU_CO2_IN1_Total cible,CLEDU_CO3_IN1_Total cible,CLEDU_CO4_IN1_Total cible,CLWSH_CO1_IN1_atteint,CLWSH_CO2_IN1_atteint,CLWSH_CO3_IN1_atteint,CLWSH_CO4_IN1_atteint,CLWSH_CO5_IN1_atteint,CLWSH_CO1_IN1_Total cible,CLWSH_CO2_IN1_Total cible,CLWSH_CO3_IN1_Total cible,CLWSH_CO4_IN1_Total cible,CLWSH_CO5_IN1_Total cible,CLFSC_CO1_IN2_atteint,CLFSC_CO1_IN1_atteint,CLFSC_CO2_IN2_atteint,CLFSC_CO2_IN1_atteint,CLFSC_CO1_IN2_Total cible,CLFSC_CO1_IN1_Total cible,CLFSC_CO2_IN2_Total cible,CLFSC_CO2_IN1_Total cible,CLPRO_CO1_IN2_atteint,CLPRO_CO1_IN1_atteint,CLPRO_CO2_IN1_atteint,CLPRO_CO3_IN1_atteint,CLPRO_CO4_IN1_atteint,CLPRO_CO1_IN2_Total cible,CLPRO_CO1_IN1_Total cible,CLPRO_CO2_IN1_Total cible,CLPRO_CO3_IN1_Total cible,CLPRO_CO4_IN1_Total cible,CLPRO-CPN_CO1_IN1_atteint,CLPRO-CPN_CO2_IN2_atteint,CLPRO-CPN_CO3_IN1_atteint,CLPRO-CPN_CO4_IN2_atteint,CLPRO-CPN_CO4_IN1_atteint,CLPRO-CPN_CO5_IN1_atteint,CLPRO-CPN_CO6_IN1_atteint,CLPRO-CPN_CO7_IN1_atteint,CLPRO-CPN_CO1_IN1_Total cible,CLPRO-CPN_CO2_IN2_Total cible,CLPRO-CPN_CO3_IN1_Total cible,CLPRO-CPN_CO4_IN2_Total cible,CLPRO-CPN_CO4_IN1_Total cible,CLPRO-CPN_CO5_IN1_Total cible,CLPRO-CPN_CO6_IN1_Total cible,CLPRO-CPN_CO7_IN1_Total cible,CLPRO-GBV_CO1_IN5_atteint,CLPRO-GBV_CO1_IN4_atteint,CLPRO-GBV_CO1_IN3_atteint,CLPRO-GBV_CO1_IN1_atteint,CLPRO-GBV_CO1_IN2_atteint,CLPRO-GBV_CO2_IN1_atteint,CLPRO-GBV_CO2_IN2_atteint,CLPRO-GBV_CO3_IN1_atteint,CLPRO-GBV_CO3_IN3_atteint,CLPRO-GBV_CO3_IN2_atteint,CLPRO-GBV_CO1_IN5_Total cible,CLPRO-GBV_CO1_IN4_Total cible,CLPRO-GBV_CO1_IN3_Total cible,CLPRO-GBV_CO1_IN1_Total cible,CLPRO-GBV_CO1_IN2_Total cible,CLPRO-GBV_CO2_IN1_Total cible,CLPRO-GBV_CO2_IN2_Total cible,CLPRO-GBV_CO3_IN1_Total cible,CLPRO-GBV_CO3_IN3_Total cible,CLPRO-GBV_CO3_IN2_Total cible,CLPRO-HLP_CO1_IN2_atteint,CLPRO-HLP_CO1_IN1_atteint,CLPRO-HLP_CO2_IN1_atteint,CLPRO-HLP_CO3_IN1_atteint,CLPRO-HLP_CO3_IN2_atteint,CLPRO-HLP_CO4_IN1_atteint,CLPRO-HLP_CO1_IN2_Total cible,CLPRO-HLP_CO1_IN1_Total cible,CLPRO-HLP_CO2_IN1_Total cible,CLPRO-HLP_CO3_IN1_Total cible,CLPRO-HLP_CO3_IN2_Total cible,CLPRO-HLP_CO4_IN1_Total cible,CLPRO-MIN_CO1_IN1_atteint,CLPRO-MIN_CO2_IN1_atteint,CLPRO-MIN_CO3_IN1_atteint,CLPRO-MIN_CO1_IN1_Total cible,CLPRO-MIN_CO2_IN1_Total cible,CLPRO-MIN_CO3_IN1_Total cible,CLHEA_CO1_IN1_atteint,CLHEA_CO1_IN3_atteint,CLHEA_CO1_IN2_atteint,CLHEA_CO2_IN4_atteint,CLHEA_CO2_IN1_atteint,CLHEA_CO2_IN2_atteint,CLHEA_CO2_IN3_atteint,CLHEA_CO2_IN5_atteint,CLHEA_CO3_IN2_atteint,CLHEA_CO3_IN1_atteint,CLHEA_CO1_IN1_Total cible,CLHEA_CO1_IN3_Total cible,CLHEA_CO1_IN2_Total cible,CLHEA_CO2_IN4_Total cible,CLHEA_CO2_IN1_Total cible,CLHEA_CO2_IN2_Total cible,CLHEA_CO2_IN3_Total cible,CLHEA_CO2_IN5_Total cible,CLHEA_CO3_IN2_Total cible,CLHEA_CO3_IN1_Total cible
35,35,Kongo-Central,CD20,Matadi,CD2001,Matadi,CD2001ZS01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,24.0,0.0,0.0,1915.0,3058.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8715.0,8715.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,96.15384615384615,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,17430.0,182.0,57692.0,2405.0,726.3,0.0
36,36,Kongo-Central,CD20,Matadi,CD2001,Nzanza,CD2001ZS02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,3.0,0.0,0.0,1698.0,2723.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,100.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2133.0,655.6,0.0
37,37,Kongo-Central,CD20,Boma,CD2002,Boma,CD2002ZS01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,11.0,0.0,0.0,1894.0,3017.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,57.14285714285714,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,712.2,0.0
38,38,Kongo-Central,CD20,Moanda,CD2003,Boma Bungu,CD2003ZS01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,42.0,0.0,0.0,953.0,1505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1197.0,345.3,0.0
39,39,Kongo-Central,CD20,Moanda,CD2003,Kitona,CD2003ZS02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,10.0,0.0,0.0,1158.0,1845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,436.3,0.0
40,40,Kongo-Central,CD20,Moanda,CD2003,Moanda,CD2003ZS03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,89.0,0.0,0.0,1671.0,2664.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,33.33333333333333,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2099.0,631.7,0.0
41,41,Kongo-Central,CD20,Lukula,CD2005,Kangu,CD2005ZS01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,16.0,0.0,0.0,1235.0,1952.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1551.0,450.0,0.0
42,42,Kongo-Central,CD20,Lukula,CD2005,Lukula,CD2005ZS02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,17.0,0.0,0.0,2387.0,3759.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2999.0,853.4,0.0
43,43,Kongo-Central,CD20,Tshela,CD2007,Kinkonzi,CD2007ZS01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,4.0,0.0,0.0,834.0,1324.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1048.0,308.7,0.0
44,44,Kongo-Central,CD20,Tshela,CD2007,Kizu,CD2007ZS02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,45.0,0.0,0.0,772.0,1211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,969.0,272.2,0.0
45,45,Kongo-Central,CD20,Tshela,CD2007,Kuimba,CD2007ZS03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,1.0,0.0,0.0,1033.0,1636.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,377.9,0.0
46,46,Kongo-Central,CD20,Tshela,CD2007,Tshela,CD2007ZS04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,27.0,0.0,0.0,1061.0,1690.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,33.33333333333333,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1334.0,396.9,0.0
47,47,Kongo-Central,CD20,Tshela,CD2007,Vaku,CD2007ZS05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,103.0,0.0,0.0,889.0,1406.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,33.33333333333333,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1117.0,324.3,0.0
48,48,Kongo-Central,CD20,Seke-Banza,CD2009,Inga,CD2009ZS01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,11.0,0.0,0.0,964.0,1528.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1211.0,355.6,0.0
49,49,Kongo-Central,CD20,Seke-Banza,CD2009,Seke-Banza,CD2009ZS02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,48.0,0.0,0.0,1755.0,2769.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2205.0,632.4,0.0
50,50,Kongo-Central,CD20,Luozi,CD2010,Kibunzi,CD2010ZS01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,12.0,0.0,0.0,803.0,1271.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1009.0,292.7,0.0
51,51,Kongo-Central,CD20,Luozi,CD2010,Luozi,CD2010ZS02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,0.0,1058.0,1685.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,396.4,0.0
52,52,Kongo-Central,CD20,Luozi,CD2010,Mangembo,CD2010ZS03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,52.0,0.0,0.0,967.0,1529.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352.4,0.0
